student_id,lecture_id,timestamp,emotion,confidence,attention_score,engagement_score
S001,L001,2025-01-15 09:05:00,happy,0.87,0.82,0.91
S002,L001,2025-01-15 09:05:00,neutral,0.75,0.70,0.73
S003,L001,2025-01-15 09:05:00,bored,0.82,0.18,0.12
S004,L001,2025-01-15 09:05:00,happy,0.91,0.88,0.94
S005,L001,2025-01-15 09:05:00,confused,0.68,0.45,0.41
S006,L001,2025-01-15 09:05:00,neutral,0.79,0.72,0.74
S007,L001,2025-01-15 09:05:00,sad,0.73,0.21,0.19
S008,L001,2025-01-15 09:05:00,surprise,0.84,0.80,0.83
S001,L001,2025-01-15 09:15:00,neutral,0.80,0.75,0.76
S002,L001,2025-01-15 09:15:00,confused,0.72,0.42,0.38
S003,L001,2025-01-15 09:15:00,bored,0.88,0.12,0.08
S004,L001,2025-01-15 09:15:00,happy,0.93,0.90,0.95
S005,L001,2025-01-15 09:15:00,neutral,0.77,0.70,0.72
S006,L001,2025-01-15 09:15:00,happy,0.85,0.82,0.88
S007,L001,2025-01-15 09:15:00,confused,0.70,0.40,0.36
S008,L001,2025-01-15 09:15:00,neutral,0.76,0.68,0.71
S001,L002,2025-01-15 11:05:00,happy,0.89,0.85,0.92
S002,L002,2025-01-15 11:05:00,happy,0.86,0.83,0.90
S003,L002,2025-01-15 11:05:00,neutral,0.74,0.68,0.70
S004,L002,2025-01-15 11:05:00,confused,0.71,0.43,0.39
S005,L002,2025-01-15 11:05:00,bored,0.80,0.20,0.14
S006,L002,2025-01-15 11:05:00,neutral,0.78,0.71,0.73
S007,L002,2025-01-15 11:05:00,happy,0.87,0.84,0.91
S008,L002,2025-01-15 11:05:00,surprise,0.82,0.78,0.82
S001,L003,2025-01-16 09:05:00,neutral,0.76,0.70,0.72
S002,L003,2025-01-16 09:05:00,sad,0.71,0.22,0.20
S003,L003,2025-01-16 09:05:00,happy,0.90,0.87,0.93
S004,L003,2025-01-16 09:05:00,neutral,0.75,0.68,0.71
S005,L003,2025-01-16 09:05:00,happy,0.88,0.85,0.91
S006,L003,2025-01-16 09:05:00,confused,0.69,0.41,0.37
S007,L003,2025-01-16 09:05:00,neutral,0.77,0.70,0.72
S008,L003,2025-01-16 09:05:00,bored,0.83,0.17,0.11
